,Номенклатура,КлассТовара
82,c3706730-76ff-11e0-8e92-001517c526f0,Наиболее продаваемый
83,c78e0239-11ee-11df-a2bd-00151716f9f5,Наиболее продаваемый
84,46d03f81-bba3-11da-ab47-0002b3552d75,Наиболее продаваемый
85,ce106c89-fe54-11de-b2fc-00151716f9f5,Наиболее продаваемый
86,86edb979-797d-11e1-84e2-001517c526f0,Наиболее продаваемый
87,d07866a2-bba2-11da-ab47-0002b3552d75,Наиболее продаваемый
88,ca1bfb80-e87e-11db-b692-00001a1933df,Наиболее продаваемый
89,6f10eb86-abf4-11df-ae04-001517c526f0,Наиболее продаваемый
90,be43e765-2ce3-11e0-86c7-001517c526f0,Наиболее продаваемый
91,9a59dc25-bba2-11da-ab47-0002b3552d75,Наиболее продаваемый
92,8e6cdf33-797d-11e1-84e2-001517c526f0,Наиболее продаваемый
93,05969013-b4ab-11df-b2e0-001517c526f0,Наиболее продаваемый
94,9f05c7b2-6b57-11de-af5d-00151716f9f5,Наиболее продаваемый
95,d53109c7-d1c3-11e0-bc27-001517c526f0,Наиболее продаваемый
96,d3fd640c-3972-11db-9411-0002b3552d75,Наиболее продаваемый
97,237fbec9-4863-11df-bc79-001517c526f1,Наиболее продаваемый
98,ae796060-ceb3-11e0-872a-001517c526f0,Наиболее продаваемый
99,86edb9c1-797d-11e1-84e2-001517c526f0,Наиболее продаваемый
100,8e6cdf43-797d-11e1-84e2-001517c526f0,Наиболее продаваемый
101,bab14cc4-9d52-11dc-baa5-00151716f9f5,Наиболее продаваемый
102,e6a2b055-0950-11df-a185-00151716f9f5,Наиболее продаваемый
103,408ae72c-9611-11df-9cdb-001517c526f0,Наиболее продаваемый
104,5233c257-1d0f-11df-a579-001517c526f1,Наиболее продаваемый
105,9a59dbf0-bba2-11da-ab47-0002b3552d75,Наиболее продаваемый
106,86edb97c-797d-11e1-84e2-001517c526f0,Наиболее продаваемый
107,87262415-e7c6-11db-916b-00001a1933df,Наиболее продаваемый
108,d53109b7-d1c3-11e0-bc27-001517c526f0,Наиболее продаваемый
109,2b343449-6483-11df-97b4-001517c526f1,Наиболее продаваемый
110,35efe635-404f-11df-95ff-001517c526f1,Наиболее продаваемый
111,968fc83c-a8ad-11de-bd70-00151716f9f5,Наиболее продаваемый
112,86edb9c0-797d-11e1-84e2-001517c526f0,Наиболее продаваемый
113,2b343446-6483-11df-97b4-001517c526f1,Наиболее продаваемый
114,d53109c3-d1c3-11e0-bc27-001517c526f0,Наиболее продаваемый
115,0ba0ed57-07ff-11db-873b-0002b3552d75,Наиболее продаваемый
116,86edb982-797d-11e1-84e2-001517c526f0,Наиболее продаваемый
117,86edb9c8-797d-11e1-84e2-001517c526f0,Наиболее продаваемый
118,ac248455-0f0b-11dc-b303-00001a1933df,Наиболее продаваемый
119,8e6cdf17-797d-11e1-84e2-001517c526f0,Наиболее продаваемый
120,1fe5eba5-c2f0-11e0-a22a-001517c526f0,Наиболее продаваемый
121,10990399-fd8b-11dd-a0a4-00151716f9f5,Наиболее продаваемый
122,46d03f7f-bba3-11da-ab47-0002b3552d75,Наиболее продаваемый
123,d53109ba-d1c3-11e0-bc27-001517c526f0,Средне продаваемый
124,7c4ce7fd-600b-11db-a5f0-00001a1933df,Средне продаваемый
125,1df585fc-53ab-11dd-8a13-00151716f9f5,Средне продаваемый
126,dfcdb008-87f6-11e0-a3c6-00155d030b07,Средне продаваемый
127,939226fa-bba2-11da-ab47-0002b3552d75,Средне продаваемый
128,eac261ca-099c-11df-a185-00151716f9f5,Средне продаваемый
129,9b89b69a-1aa6-11df-ae1e-001517c526f1,Средне продаваемый
130,ca6ffcfe-9b66-11df-8004-001517c526f0,Средне продаваемый
131,9f05c7ba-6b57-11de-af5d-00151716f9f5,Средне продаваемый
132,0b4fa029-9cce-11dc-983e-00151716f9f5,Средне продаваемый
133,46d03f50-bba3-11da-ab47-0002b3552d75,Средне продаваемый
134,87262413-e7c6-11db-916b-00001a1933df,Средне продаваемый
135,408ae72e-9611-11df-9cdb-001517c526f0,Средне продаваемый
136,1fe5eba6-c2f0-11e0-a22a-001517c526f0,Средне продаваемый
137,eac2aa7b-272b-11df-b750-001517c526f1,Средне продаваемый
